"selroutes","pa_corA","pa_corB","pa_corC","pa_corD","route.x","abu_corA","abu_corB","abu_corC","abu_corD","route.y"
"Route_0300815102",0.64082510033562,0.571744401473564,0.208556343131215,-0.297766420599828,2132,0.546486139311291,0.486468989942626,0.126019941318347,-0.104037324565014,2132
"Route_0330217101",0.723962611813945,0.691554411609961,0.143426394810793,0.235923486361113,2139,0.706835665307643,0.635303373707641,0.181304850527628,-0.0234358955367985,2139
"Route_0330217102",0.597519695019336,0.590433853285486,0.24439222312137,0.148417818357484,2140,0.570689318894191,0.675375227833602,-0.220286173840268,0.397143991262026,2140
"Route_0330217103",0.685836230202451,0.651185315318286,,,2141,0.70520045153908,0.660135625885725,,,2141
"Route_0340322108",0.792833532103488,0.80044003024608,,,2144,0.791190714881878,0.77225601055173,,,2144
"Route_0351102105",0.565141124284653,0.552232718203922,0.00778887086999685,-0.127911775134126,2151,0.609691085766778,0.530280579908629,0.412542063766938,0.146881959017099,2151
"Route_0351102107",0.491453435503849,0.49665427359595,0.0972432790970295,-0.12336967289959,2153,0.606489191647273,0.596043458664627,-0.0747111847909401,-0.0987444078092248,2153
"Route_0351102108",0.591332107924068,0.584142410254547,0.00842465903743326,-0.0892523116307127,2154,0.552416030572155,0.455136320093407,0.199768413900596,0.00519554203212709,2154
"Route_0351102109",0.475388072291496,0.461948369461696,,,2155,0.38362954769279,0.250666711167538,,,2155
"Route_0360917102",0.755011723774395,0.700748957558574,0.00385418777620305,0.0388254994892671,2167,0.758451523923289,0.72927935595838,0.400891336166297,0.347540937057604,2167
"Route_0370517101",0.719662438760801,0.703870938747299,0.102296827063075,0.0817103911637806,2184,0.78073446435163,0.688429176360733,0.475720679877418,0.251370284130732,2184
"Route_0370627101",0.523138763126467,0.534568199237441,0.196102431168553,0.136499648003801,2185,0.538785744177481,0.566219351579377,0.0568438452154085,0.0430385863936379,2185
"Route_0380407101",0.68095484051723,0.684411487787685,0.0863974556263512,-0.185889321823867,2189,0.5348855552496,0.546173726497138,-0.0162236956521483,-0.365020824270232,2189
"Route_0381016101",0.718221715146197,0.710632366276437,,,2192,0.64206591473774,0.616100165012147,,,2192
"Route_0381224101",0.637657313931931,0.640227638229823,,,2193,0.746373869488838,0.718033125683191,,,2193
"Route_0381224102",0.755134114275804,0.778226564561595,,,2194,0.925850912207355,0.875961187926145,,,2194
"Route_0390104101",0.666998231742267,0.638424441137172,,,2195,0.710298384773254,0.721735937391598,,,2195
"Route_0390225104",0.770312994216359,0.729030826106391,,,2197,0.587511067261912,0.503077088740818,,,2197
"Route_0390225105",0.703361842093399,0.694035514582031,,,2198,0.712022586943646,0.690503098199926,,,2198
"Route_0390225106",0.656788445984198,0.633405855485716,,,2199,0.684154001265195,0.659954135187274,,,2199
"Route_0390225107",0.829954036940469,0.780311989320484,,,2200,0.78622874907972,0.762811842288069,,,2200
"Route_0390225108",0.812375008358082,0.777253891989008,,,2201,0.720443372398591,0.697227332318126,,,2201
"Route_0390721101",0.65808837449359,0.614518291747406,-0.0574815879163164,0.0061971068797556,2205,0.779775620767241,0.671553399594076,0.396770419618707,0.301404132602721,2205
"Route_0390721102",0.69861659381153,0.682037541376605,-0.046644911950187,-0.131628554965909,2206,0.60409034787702,0.548503311553442,0.282322467162725,0.0455723101322628,2206
"Route_0400104101",0.705411736100877,0.673072363415882,,,2208,0.715282720705638,0.645168862041197,,,2208
"Route_0401010105",0.69955050810678,0.706043994063982,,,2219,0.692847244113919,0.667342126416899,,,2219
"Route_0401108101",0.792397122717216,0.788928367216451,,,2220,0.746209560062413,0.711533569460512,,,2220
"Route_0401108105",0.844476082620491,0.827490006972194,,,2223,0.859399674981821,0.814724037759684,,,2223
"Route_0411121101",0.711199952158806,0.709969456962009,0.33598530490731,0.0694602399830438,2227,0.668995765218599,0.607497862958217,0.136509558825916,-0.0469785109477079,2227
"Route_0421127202",0.633444794090019,0.570250998853839,,,2229,0.710431616677083,0.647826720861909,,,2229
"Route_0421221101",0.673396274525223,0.681442476076375,,,2230,0.663980215661646,0.642774240629108,,,2230
"Route_0430117101",0.794115044161004,0.792158484185939,0.07529137996375,-0.0906159725000646,2235,0.832026743965092,0.811060432285494,-0.0218115937517605,-0.298101934095455,2235
"Route_0430117102",0.785594117970686,0.770854886650471,-0.074203676595941,0.0509928643627549,2236,0.833978984450354,0.803347175283389,0.0637411581589473,-0.0237524148295586,2236
"Route_0430117103",0.833115583357348,0.813638962842141,0.0927662569670268,0.00644783268828788,2237,0.865993141408681,0.831484091704255,-0.0255792425666386,-0.0154955963849702,2237
"Route_0430322102",0.851592279819021,0.815391852308835,0.140192630098386,-0.0116890338802808,2239,0.75111968253584,0.695043730707832,0.376443702598057,-0.0626000709350462,2239
"Route_0430426103",0.761073083620123,0.731511343387932,0.346644594526402,-0.0308109512105057,2242,0.824233772582511,0.807246683166945,0.255138906486089,-0.133748021383834,2242
"Route_0430726101",0.779925133226991,0.781961302745678,0.124659510905954,0.0986685816275176,2244,0.715771049648304,0.70062794186691,0.130493794632685,-0.0436545559935332,2244
"Route_0431009103",0.773192768398822,0.731683061634595,,,2250,0.773007649340435,0.756902293071445,,,2250
"Route_0440114102",0.765227780596706,0.77712178736764,0.322676252062585,0.0693587120148644,2252,0.829424577609335,0.814430753863602,0.389468006846592,0.159323824509699,2252
"Route_0440114106",0.686844550890706,0.704479155722692,0.150611281255009,-0.00667076689618986,2253,0.692717731645088,0.700941873542941,0.113897242146404,0.173573335680618,2253
