"Route","Year"
"Route_0000000260","Year_2009"
"Route_0000000260","Year_2010"
"Route_0000000260","Year_2011"
"Route_0000000260","Year_2012"
"Route_0000000260","Year_2014"
"Route_0000000261","Year_2009"
"Route_0000000261","Year_2012"
"Route_0000000261","Year_2013"
"Route_0000000261","Year_2014"
"Route_0000000262","Year_2008"
"Route_0000000262","Year_2009"
"Route_0000000262","Year_2011"
"Route_0000000262","Year_2014"
"Route_0000000263","Year_2009"
"Route_0000000263","Year_2014"
"Route_0000000264","Year_2009"
"Route_0000000264","Year_2010"
"Route_0000000264","Year_2013"
"Route_0000000265","Year_2010"
"Route_0000000265","Year_2012"
"Route_0000000269","Year_2007"
"Route_0000000269","Year_2008"
"Route_0000000269","Year_2012"
"Route_0000000269","Year_2013"
"Route_0000000269","Year_2014"
"Route_0000000270","Year_2009"
"Route_0000000270","Year_2011"
"Route_0000000271","Year_2006"
"Route_0000000271","Year_2010"
"Route_0000000272","Year_2006"
"Route_0000000272","Year_2009"
"Route_0000000273","Year_2008"
"Route_0000000273","Year_2010"
"Route_0000000274","Year_2008"
"Route_0000000274","Year_2012"
"Route_0000000274","Year_2013"
"Route_0000000274","Year_2014"
"Route_0000000275","Year_2008"
"Route_0000000275","Year_2010"
"Route_0000000275","Year_2012"
"Route_0000000275","Year_2013"
"Route_0000000275","Year_2014"
"Route_0000000276","Year_2010"
"Route_0000000276","Year_2011"
"Route_0000000277","Year_2010"
"Route_0000000277","Year_2011"
"Route_0000000278","Year_2006"
"Route_0000000279","Year_2006"
"Route_0000000279","Year_2013"
"Route_0000000279","Year_2014"
"Route_0000000280","Year_2006"
"Route_0000000280","Year_2008"
"Route_0000000280","Year_2010"
"Route_0000000280","Year_2012"
"Route_0000000280","Year_2014"
"Route_0000000281","Year_2006"
"Route_0000000281","Year_2008"
"Route_0000000281","Year_2010"
"Route_0000000281","Year_2012"
"Route_0000000281","Year_2014"
"Route_0000000282","Year_2006"
"Route_0000000282","Year_2011"
"Route_0000000282","Year_2012"
"Route_0000000282","Year_2013"
"Route_0000000282","Year_2014"
"Route_0000000283","Year_2006"
"Route_0000000283","Year_2007"
"Route_0000000283","Year_2008"
"Route_0000000283","Year_2009"
"Route_0000000283","Year_2010"
"Route_0000000283","Year_2011"
"Route_0000000283","Year_2013"
"Route_0000000285","Year_2009"
"Route_0000000285","Year_2012"
"Route_0000000285","Year_2013"
"Route_0000000286","Year_2009"
"Route_0000000286","Year_2011"
"Route_0000000286","Year_2012"
"Route_0000000286","Year_2013"
"Route_0000000287","Year_2007"
"Route_0000000287","Year_2012"
"Route_0000000287","Year_2013"
"Route_0000000288","Year_2010"
"Route_0000000288","Year_2014"
"Route_0000000290","Year_2008"
